Address,bMonsters,rMonsters
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30269?gameHash=320d097b9d26fd39,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30502?gameHash=9070c0341ca99f9a,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30516?gameHash=e003e7e16de3c61d,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30526?gameHash=92ee0f029452e67e,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/40255?gameHash=9ab6f6d1b241b265,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/40268?gameHash=4615d6ca526415d8,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/50185?gameHash=b6089b09edd82d36,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/50202?gameHash=1754e9941e6a25d9,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/80145?gameHash=897e0929fb4e85c4,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/80394?gameHash=4a0b31d25663d55f,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/80397?gameHash=8bf2b55ec23b0a71,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/100109?gameHash=297b1e57798b3cd9,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/100116?gameHash=764fe9769918bccf,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/100255?gameHash=8a1dc6b151b8ef3c,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/100334?gameHash=75c0151004b02d5d,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110031?gameHash=ee645420a271d96f,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110183?gameHash=b669ada1b9e750a6,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110187?gameHash=9e4a0a2550bf2087,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140077?gameHash=f4c48bf2101aa2b0,2,1
