,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills
2962,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280325?gameHash=dd7bbdf617a97921,-270,1,0,5,9,1,0,0,0,0,1
2963,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280325?gameHash=dd7bbdf617a97921,-270,1,0,5,9,0,0,1,0,0,1
2964,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280325?gameHash=dd7bbdf617a97921,-270,1,0,5,9,1,0,0,0,0,1
2965,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280325?gameHash=dd7bbdf617a97921,-270,1,0,5,9,0,1,0,0,0,1
2966,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280343?gameHash=8f5cd483974d2c51,1937,1,0,2,6,0,0,1,1,1,0
2967,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280353?gameHash=eba73514e65177b1,3212,0,1,2,4,0,1,0,1,0,1
2968,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280390?gameHash=2f2ea093e8009f0d,-2279,1,0,3,5,1,0,0,0,0,1
2969,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280390?gameHash=2f2ea093e8009f0d,-2279,1,0,3,5,0,0,1,0,0,1
2970,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300060?gameHash=2d5431246ea0a4bf,1376,1,0,1,5,0,0,1,1,0,1
2971,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300067?gameHash=50e6b68290f7d4bf,970,0,1,3,2,0,0,1,1,1,1
2972,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300067?gameHash=50e6b68290f7d4bf,970,0,1,3,2,1,0,0,1,1,1
2973,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300068?gameHash=c1dcde9f3e82b5f3,-4339,1,0,5,1,0,0,1,0,0,1
2974,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300068?gameHash=c1dcde9f3e82b5f3,-4339,1,0,5,1,0,1,0,0,0,1
2975,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300068?gameHash=c1dcde9f3e82b5f3,-4339,1,0,5,1,1,0,0,0,0,1
2976,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300077?gameHash=78dcc802e36c26f9,2947,0,1,2,3,1,0,0,1,1,2
2977,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300228?gameHash=59281f9d90e7ed86,3716,0,1,3,5,0,0,1,2,1,1
