,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills,bMonsters,rMonsters
4925,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570095?gameHash=632353b6f09d27b8,-4008.0,1,0,7,3,0,0,1,1,0,1,3,2
4926,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570105?gameHash=bd8c41b171c3445c,366.0,0,1,8,5,1,0,0,2,1,3,4,1
4927,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570105?gameHash=bd8c41b171c3445c,366.0,0,1,8,5,0,1,0,2,1,3,4,1
4928,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570105?gameHash=bd8c41b171c3445c,366.0,0,1,8,5,1,0,0,2,1,3,4,1
4929,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570105?gameHash=bd8c41b171c3445c,366.0,0,1,8,5,0,0,1,2,1,3,4,1
4930,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570105?gameHash=bd8c41b171c3445c,366.0,0,1,8,5,0,0,1,2,1,3,4,1
4931,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570109?gameHash=1ad58ba377bfe8c5,-176.0,0,1,3,3,1,0,0,2,1,2,3,2
4932,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570109?gameHash=1ad58ba377bfe8c5,-176.0,0,1,3,3,0,0,1,2,1,2,3,2
4933,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570109?gameHash=1ad58ba377bfe8c5,-176.0,0,1,3,3,1,0,0,2,1,2,3,2
4934,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570109?gameHash=1ad58ba377bfe8c5,-176.0,0,1,3,3,0,1,0,2,1,2,3,2
4935,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570109?gameHash=1ad58ba377bfe8c5,-176.0,0,1,3,3,0,0,1,2,1,2,3,2
4936,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570109?gameHash=1ad58ba377bfe8c5,-176.0,0,1,3,3,1,0,0,2,1,2,3,2
